+,!,*,&,ASTSize,ASTDepth,SUM_LIB,SUM_NODE,AVE_LIB,lev,power,area,delay
5,128550,109728,13,348043,49,3571096,238296,14.986784621647368,11,72.35,109.41,145.75
0,2331,2306,7,6958,25,71711,4644,15.464955790381712,11,175.7,144.4,141.52
5,6071,6184,11,18472,30,190817,12271,15.564192495921697,9,63.14,86.31,81.22
6,2056,2459,5,6997,28,72758,4526,16.093342180933423,7,50.41,66.48,60.72
3,406,324,2,1065,23,10860,735,14.815825375170531,8,67.81,64.15,83.19
22,85,55,34,308,36,2547,196,15.722222222222221,3,84.92,73.95,24.91
8,67,61,10,226,14,2153,146,15.830882352941176,4,53.66,37.32,44.02
4,381,431,11,1274,22,13015,827,15.949754901960784,6,53.46,64.62,64.26
3,22,15,3,65,10,606,43,15.15,4,23.65,18.2,24.39
2,1045,1147,11,3366,40,34691,2205,15.811759343664539,10,246.48,206.45,133.37
0,1707,1800,15,5338,30,54963,3522,15.672369546621043,10,499.45,341.29,119.86
0,42295,35287,1,112872,89,1156969,77583,14.912853496945168,15,117.56,230.25,172.65
3,160,147,10,481,18,4752,320,15.329032258064515,4,43.6,45.26,42.8
9,257,280,13,862,21,8707,559,15.946886446886447,6,67.18,77.45,51.21
4,1198,946,3,3105,25,31698,2151,14.756983240223464,10,88.11,123.41,134.03
10,229,237,18,760,25,7535,494,15.829831932773109,4,58.59,79.32,53.95
3,26,24,6,93,10,840,59,15.849056603773585,3,32.55,15.16,28.91
11,565,442,13,1498,23,15095,1031,14.828094302554028,9,111.54,111.04,73.56
1,1712,1734,11,5205,26,53582,3458,15.544531476646359,10,104.26,104.98,101.64
7,80,78,15,281,18,2618,180,15.866666666666667,4,42.14,55.29,32.23
5,40,32,20,155,21,1194,97,15.506493506493506,3,50.55,33.59,29.23
7,743,574,11,1928,21,19497,1335,14.725830815709969,9,104.97,125.74,89.77
4,4957,4603,9,14190,30,145983,9573,15.263801756587203,11,122.5,94.01,125.71
7,1931,2036,10,6038,28,62353,3984,15.690236537493709,5,12.99,12.13,29.34
10,168,174,11,559,18,5600,363,15.909090909090908,7,77.76,77.92,66.21
8,703,748,10,2236,20,22991,1469,15.758053461274846,8,85.42,122.01,108.02
7,390,331,22,1111,30,10974,750,15.074175824175825,5,86.09,119.21,60.61
4,255,208,7,694,16,6975,474,14.93576017130621,6,65.6,69.28,49.25
9,310,276,12,905,22,9096,607,15.287394957983194,5,87.37,79.32,65.52
2,1550,1560,1,4677,25,48322,3113,15.527634961439588,10,76.44,102.88,128.79
3,436,437,9,1335,20,13616,885,15.54337899543379,7,89.08,86.78,72.7
12,52,38,24,201,26,1616,126,15.843137254901961,3,65.64,45.49,41.01
3,1245,1164,4,3588,27,36891,2416,15.294776119402986,9,112.99,148.37,116.68
8,918,888,14,2739,25,28006,1828,15.438809261300992,6,77.27,96.34,87.35
6,1296,1286,16,3913,31,40112,2604,15.499227202472952,8,80.77,116.64,84.04
7,19,7,14,76,16,507,47,15.363636363636363,1,19.86,18.9,15.88
6,36,29,8,123,13,1118,79,15.746478873239436,4,38.56,25.43,38.19
0,1116,978,4,3081,43,31560,2098,15.071633237822349,10,236.86,202.49,112.51
9,2510,2883,11,8317,25,86250,5413,15.966308774527953,7,76.32,82.11,82.83
2,5246,4836,9,14941,34,153658,10093,15.23780245934153,8,67.07,52.02,72.11
1,394,424,5,1255,32,12900,824,15.750915750915752,8,230.29,161.43,72.86
1,27911,30432,10,88798,46,920729,58354,15.78104003839298,12,92.29,119.91,99.34
14,87,74,17,298,23,2775,192,15.857142857142858,4,45.38,47.59,32.09
4,1664,1663,8,5015,24,51666,3339,15.510657460222156,10,99.6,116.17,106.63
5,259,214,8,714,19,7169,486,14.997907949790795,8,69.52,76.75,76.96
3,450,402,10,1281,22,12972,865,15.171929824561403,6,58.55,71.62,69.37
4,433,417,8,1292,20,13175,862,15.427400468384075,7,47.58,64.39,61.94
3,4069,4138,4,12360,24,127735,8214,15.558465286236297,9,54.55,57.39,85.36
1,13679,13784,13,41276,39,426385,27477,15.525233032333237,11,60.56,77.22,156.87
6,713,671,10,2088,23,21335,1400,15.348920863309353,7,73.74,66.02,86.0
0,94,106,3,313,15,3178,203,15.89,9,70.07,51.09,64.02
5,57,49,5,176,11,1721,116,15.504504504504505,4,41.96,28.93,44.48
6,200,197,7,621,18,6290,410,15.607940446650124,6,42.79,53.19,61.42
1,8482,9601,17,27721,36,287586,18101,15.90278699402787,11,169.02,223.25,122.11
6,222,185,8,621,16,6224,421,15.070217917675544,5,38.32,27.76,44.37
7,162,131,10,459,17,4522,310,15.073333333333334,6,57.49,55.05,47.96
8,5102,4734,18,14623,40,150274,9862,15.265542462413652,8,104.69,151.4,99.31
7,44,30,16,151,19,1238,97,15.283950617283951,3,48.48,34.29,16.69
3,17066,14999,2,47075,38,483650,32070,15.082013221903456,11,69.39,77.22,155.93
4,201,207,7,638,16,6467,419,15.696601941747574,5,66.16,55.29,48.5
4,273,254,3,796,18,8149,534,15.346516007532957,8,49.25,66.72,73.48
8,880,812,13,2547,26,25992,1713,15.289411764705882,8,70.64,48.99,91.51
1,148,142,3,441,20,4482,294,15.402061855670103,5,24.74,18.66,38.29
4,728,662,22,2105,30,21220,1416,15.222381635581062,8,316.36,216.72,72.54
3,3880,3705,24,11345,40,116508,7612,15.354243542435425,10,219.29,229.78,146.87
9,45,31,11,148,13,1321,96,15.541176470588235,3,31.31,27.76,25.25
5,57,43,10,174,15,1589,115,15.133333333333333,4,35.72,31.96,34.52
1,22617,26649,20,75958,44,789857,49287,16.032171636186494,11,190.19,156.76,157.89
4,22,21,9,91,11,764,56,16.25531914893617,4,34.48,30.33,25.53
5,3808,3508,4,10843,27,111578,7325,15.240814096434914,11,172.26,218.82,176.51
5,5372,6253,5,17899,37,186044,11635,15.996904557179707,10,64.14,75.82,91.57
2,1723,1618,2,4968,27,51155,3345,15.302123840861501,10,74.72,52.25,83.68
6,604,450,14,1545,23,15492,1074,14.615094339622642,7,70.87,77.45,80.86
5,1187,1223,8,3660,28,37719,2423,15.61863354037267,8,50.95,60.19,70.94
8,586,500,11,1625,23,16482,1105,15.06581352833638,10,121.51,113.61,102.93
0,1728,1554,0,4837,51,49740,3282,15.155393053016454,5,31.7,17.03,45.95
5,1389,1679,10,4778,34,49569,3083,16.130491376505045,8,45.65,42.69,63.52
3,1890,1586,2,5073,27,51980,3481,14.94107502155792,9,55.46,92.85,74.49
4,974,1059,7,3115,26,32168,2044,15.791850760922927,10,111.63,95.88,96.64
0,937,976,3,2896,144,29905,1916,15.632514375326712,7,135.43,102.88,64.79
7,523,745,12,2052,24,21279,1287,16.68941176470588,7,65.06,76.05,67.41
8,66,91,17,299,22,2804,182,16.993939393939392,3,46.7,52.25,39.41
3,9576,9484,19,28589,39,294910,19082,15.470282746682054,12,252.43,281.34,192.72
6,1043,949,19,2992,32,30421,2017,15.225725725725725,7,103.5,104.98,100.88
1,4653,4739,11,14156,41,146161,9404,15.560630256574045,11,205.05,212.28,122.09
1,4627,6006,5,16652,41,173801,10639,16.34389693436148,10,72.02,52.02,94.31
6,1204,935,6,3099,23,31562,2151,14.714219114219114,8,50.53,67.18,82.23
7,1079,961,7,3030,27,31035,2054,15.161211529066927,9,118.52,142.07,94.68
0,2521,2452,3,7432,34,76633,4976,15.409812990146794,6,35.0,14.93,47.01
6,1505,1532,12,4606,31,47405,3055,15.578376602037464,8,62.65,65.55,77.42
9,1485,1451,15,4436,28,45521,2960,15.45704584040747,10,120.62,146.03,108.29
3,245,296,2,848,17,8795,546,16.167279411764707,4,15.91,13.3,19.82
5,76,71,10,249,16,2376,162,15.631578947368421,4,45.2,38.26,36.09
3,577,557,5,1708,19,17525,1142,15.413368513632365,7,67.47,75.58,87.77
4,14,12,7,61,9,494,37,16.466666666666665,3,21.08,17.96,27.56
5,10676,9699,10,30105,33,309592,20390,15.190971540726203,10,94.92,148.13,129.13
0,213,201,3,622,29,6339,417,15.31159420289855,5,35.01,30.09,42.26
5,1597,1590,9,4806,28,49483,3201,15.50219298245614,9,69.26,88.18,78.73
2,3330,5150,1,13637,30,143322,8483,16.897194058005187,12,89.16,116.64,131.76
7,1093,1046,10,3220,25,33031,2156,15.391891891891891,9,67.54,78.62,86.23
7,62,51,14,207,18,1862,134,15.516666666666667,4,35.33,36.16,39.63
1,4687,4359,2,13412,44,138107,9049,15.265502376478391,12,124.56,151.63,153.07
3,4861,4314,10,13516,29,138735,9188,15.116038352582262,6,45.31,51.32,56.98
8,9741,10533,8,30840,31,319603,20290,15.75796272556947,10,55.16,69.98,94.74
3,47183,47705,5,142610,58,1474235,94896,15.536088775542465,10,98.64,94.01,142.29
7,142,127,15,441,20,4254,291,15.41304347826087,5,63.15,55.29,44.75
10,1364,1447,15,4309,26,44370,2836,15.728465083303792,9,122.24,94.01,104.64
0,4054,4051,0,12157,70,125608,8105,15.497594077729797,14,157.19,201.09,187.0
4,24,18,5,79,10,716,51,15.565217391304348,3,29.4,18.43,29.64
3,940,787,9,2539,23,25852,1739,14.94335260115607,8,75.97,74.65,61.82
0,928,934,13,2823,24,28900,1875,15.52094522019334,8,161.95,113.84,107.26
8,217,215,18,700,25,6891,458,15.661363636363637,4,45.33,68.12,53.02
2,908,862,14,2665,24,27188,1786,15.343115124153499,8,307.46,181.96,113.13
4,887,966,5,2838,25,29339,1862,15.799138395261174,10,112.74,135.54,109.78
3,8071,8340,13,24784,49,256197,16427,15.608444011209942,13,220.86,255.44,196.01
11,1274,1185,20,3707,31,37822,2490,15.312550607287449,7,92.85,138.57,99.82
6,1806,1608,13,5061,30,51786,3433,15.142105263157895,9,79.96,53.42,94.96
3,371,358,8,1110,22,11293,740,15.4275956284153,7,92.18,68.12,67.79
1,655,741,9,2158,41,22223,1406,15.907659269863995,8,349.3,244.71,83.27
0,1823,2068,16,5992,31,61903,3907,15.909277820611669,10,470.64,347.12,133.12
5,192,203,9,627,18,6324,409,15.81,6,51.96,73.02,52.63
9,56,57,9,207,13,1992,131,16.327868852459016,6,52.76,47.59,48.8
4,1806,2033,4,5889,25,61084,3847,15.89487379651314,7,26.62,36.86,48.08
9,736,761,14,2305,27,23600,1520,15.670650730411687,7,80.15,95.41,98.16
8,3794,3064,8,9955,28,101762,6874,14.821147684241188,11,117.06,161.43,113.59
7,5300,5776,6,16879,30,174954,11089,15.785798069114861,12,140.66,232.11,144.62
1,486,553,4,1603,63,16566,1044,15.928846153846154,9,260.8,183.59,94.76
2,3853,3990,9,11856,32,122509,7854,15.61618865519439,11,143.15,147.67,181.78
0,1413,1416,11,4268,27,43869,2840,15.506892895015907,9,251.28,173.56,132.8
3,137,129,5,412,15,4149,274,15.423791821561338,5,52.06,30.79,44.44
8,74,70,12,255,16,2414,164,15.881578947368421,6,50.13,43.39,41.37
4,2270,1879,9,6055,30,61872,4162,14.89814591861305,8,60.8,45.49,61.9
12,274,286,18,907,26,9070,590,15.856643356643357,5,58.76,61.12,67.44
6,664,636,6,1961,21,20124,1312,15.408882082695254,8,74.06,77.92,73.1
8,518,542,8,1635,19,16794,1076,15.724719101123595,7,150.09,144.17,85.55
8,208,217,7,673,18,6854,440,15.829099307159353,8,85.94,101.94,59.35
0,5859,5485,8,16846,32,173401,11352,15.285701692524682,13,230.29,208.55,161.25
13,64,50,25,241,26,2014,152,15.858267716535433,5,57.23,55.29,53.76
1,1211,1071,1,3358,32,34487,2284,15.106000876040298,6,37.26,21.46,36.25
5,1068,1440,7,3973,23,41422,2520,16.48308794269797,6,29.31,30.33,86.36
1,1002,782,0,2569,26,26248,1785,14.704761904761904,9,62.49,65.32,89.8
0,355,398,5,1162,38,11951,758,15.871181938911022,8,192.51,132.5,81.57
9,3053,3014,13,9126,26,94019,6089,15.473831468071099,10,99.96,91.45,109.56
0,9304,9376,2,28061,70,290008,18682,15.525053533190578,14,153.01,208.55,160.08
0,7402,8161,3,23731,43,246160,15566,15.817001863393948,12,88.82,62.75,115.34
4,11173,10011,9,31222,45,320903,21197,15.145506890692845,11,120.88,145.1,137.71
0,201,185,0,572,21,5879,386,15.23056994818653,7,49.41,33.59,55.75
6,59,62,8,212,14,2051,135,16.1496062992126,3,29.36,24.49,35.01
3,548,514,7,1597,21,16318,1072,15.322065727699531,7,65.27,45.26,65.75
1,235,201,7,654,16,6563,444,15.018306636155607,6,43.0,44.32,65.27
2,1466,1342,1,4157,31,42770,2811,15.220640569395018,11,68.44,114.07,108.3
6,266,248,12,799,21,8006,532,15.396153846153846,6,55.35,48.06,59.77
1,59,69,8,216,14,2075,137,16.085271317829456,4,54.9,36.62,29.71
0,126,172,5,481,25,4918,303,16.503355704697988,6,58.44,25.66,48.74
2,16546,17416,10,51403,51,532118,33974,15.667118125073607,14,229.58,284.14,195.28
10,120,91,16,355,18,3342,237,15.122171945701357,5,62.18,57.85,44.82
6,1089,1064,17,3264,26,33365,2176,15.453913849004168,9,254.21,181.49,97.27
0,11333,11351,4,34044,39,351719,22688,15.505157820490213,14,164.03,179.63,186.33
8,485,512,13,1552,22,15837,1018,15.75820895522388,8,94.12,118.51,82.3
8,1134,1062,13,3301,27,33778,2217,15.325771324863885,8,95.92,107.08,102.7
3,1148,989,12,3157,23,32168,2152,15.03177570093458,8,117.23,141.13,94.2
0,17370,18716,11,54825,40,568082,36097,15.742448595023001,14,252.94,318.66,194.02
2,4324,4027,7,12397,33,127562,8360,15.27139949718664,11,108.32,114.77,114.04
5,899,1037,4,2992,22,31035,1945,15.98918083462133,10,103.61,124.1,95.66
1,12378,15014,1,42411,35,441736,27394,16.125871573029606,14,96.69,147.2,174.43
8,50,44,15,185,17,1626,117,15.941176470588236,5,46.45,46.42,51.02
7,448,471,20,1445,26,14576,946,15.740820734341252,7,230.47,151.17,79.27
5,21,14,12,84,14,627,52,15.675,3,28.03,21.0,15.88
5,295,250,8,822,19,8285,558,15.063636363636364,7,91.51,110.57,62.74
4,435,384,18,1248,22,12467,841,15.14823815309842,7,110.7,108.48,76.38
5,568,534,7,1661,21,16990,1114,15.347786811201445,8,81.12,75.58,77.37
4,1148,1284,5,3735,24,38684,2441,15.880131362889983,9,98.33,101.94,84.67
3,243,212,9,692,18,6929,467,15.12882096069869,6,68.6,69.05,46.76
4,5570,5338,8,16271,35,167670,10920,15.365652492668621,6,27.11,29.63,50.37
7,370,309,16,1035,25,10310,702,15.029154518950437,6,73.47,92.61,80.09
7,91,76,13,284,16,2673,187,15.362068965517242,4,72.3,51.09,47.33
0,3561,3646,11,10876,34,112261,7218,15.576661579020397,11,178.68,168.43,153.72
1,2543,2607,5,7770,28,80267,5156,15.58279945641623,10,79.78,84.21,128.81
5,1129,1107,6,3366,23,34645,2247,15.459616242748773,9,76.36,97.98,135.6
1,5458,5419,2,16303,48,168366,10880,15.477661334804193,11,73.78,124.8,115.64
2,1319,1369,2,4066,28,42041,2692,15.628624535315986,11,94.7,74.18,99.3
10,42,36,13,161,17,1430,101,16.25,4,52.95,31.96,40.11
9,1225,1629,8,4518,25,47097,2871,16.45022703457911,10,85.87,98.91,119.27
8,194,200,19,649,27,6354,421,15.805970149253731,5,87.85,68.12,57.17
1,2092,2173,11,6463,27,66660,4277,15.625879043600563,10,134.59,132.97,114.63
2,1191,1250,12,3720,24,38271,2455,15.665575112566517,9,143.86,152.57,116.13
0,6242,6746,2,19739,92,204590,12990,15.752232830304896,13,109.02,150.23,116.4
5,284,277,7,863,18,8780,573,15.512367491166078,9,102.69,93.55,99.76
5,1305,1136,9,3606,23,36867,2455,15.072363041700736,10,86.77,100.08,88.57
5,677,727,9,2160,27,22217,1418,15.76792051100071,8,106.7,121.07,95.17
9,218,219,12,699,22,7014,458,15.72645739910314,6,83.06,79.78,53.73
0,560,559,4,1687,22,17338,1123,15.494191242180518,8,67.1,71.62,78.82
3,4300,3456,10,11239,29,114810,7769,14.797009923959273,8,74.17,78.15,90.17
8,50,43,15,183,19,1604,116,15.881188118811881,2,40.99,32.66,13.66
9,28,16,22,123,24,838,75,15.81132075471698,2,35.99,30.09,13.03
3,8930,9363,3,27669,32,286434,18299,15.655553126366419,14,96.84,143.93,186.76
6,35,34,10,136,13,1219,85,16.253333333333334,3,48.94,30.79,35.1
6,1654,1694,10,5075,28,52310,3364,15.596302921884318,9,94.19,129.24,110.14
7,390,378,10,1181,19,12008,785,15.494193548387097,7,61.06,76.28,77.28
4,1577,1197,3,3986,25,40631,2781,14.625989920806335,11,86.46,81.41,140.94
7,77,61,9,232,14,2217,154,15.289655172413793,4,51.12,35.69,40.47
14,23,10,16,104,18,791,63,16.829787234042552,2,29.1,23.09,15.88
6,394,347,6,1113,19,11336,753,15.175368139223561,7,75.42,61.59,83.77
3,248,255,3,771,18,7920,509,15.652173913043478,6,63.28,58.79,67.79
1,42170,44614,0,131401,44,1361064,86785,15.683171054905802,13,90.59,160.96,160.72
3,485,390,3,1278,20,13023,881,14.83257403189066,9,87.82,95.88,93.28
5,686,599,5,1905,19,19482,1295,15.102325581395348,8,65.73,91.21,82.1
6,449,398,10,1278,22,12953,863,15.185228604923799,6,60.98,56.22,88.3
0,29,32,1,96,21,965,62,15.819672131147541,3,7.08,4.43,15.7
10,125,118,17,416,22,3981,270,15.735177865612648,4,67.18,57.85,47.24
8,13946,11324,10,36631,33,374850,25288,14.829100403512935,14,123.78,165.63,199.02
1,44,39,5,135,15,1280,89,15.238095238095237,7,51.7,30.79,48.65
0,383,430,1,1246,23,12907,814,15.875768757687577,7,62.23,80.02,60.54
1,492,523,3,1547,50,15960,1019,15.708661417322835,8,79.25,57.15,65.99
4,837,790,4,2434,24,25017,1635,15.338442673206622,5,36.79,23.33,41.63
4,236,218,8,697,18,7024,466,15.336244541484715,7,74.6,61.12,62.54
8,533,505,10,1580,20,16115,1056,15.406309751434035,7,80.57,90.05,66.06
2,15,16,1,54,8,539,34,16.333333333333332,4,18.9,17.5,24.13
2,14871,15105,2,45090,37,466201,29980,15.551437720995397,15,124.84,188.02,183.66
3,1869,2414,15,6734,35,70007,4301,16.3338777414839,10,166.79,196.19,125.79
9,642,691,14,2071,26,21214,1356,15.807749627421758,7,83.69,121.77,76.67
5,1661,1522,8,4732,28,48563,3196,15.23306148055207,8,74.72,66.95,103.61
8,272,318,15,955,24,9652,613,16.140468227424748,5,47.84,48.76,77.11
7,3449,3075,7,9628,27,98873,6538,15.13902924513857,10,80.77,103.11,149.58
1,774,823,2,2427,36,25098,1600,15.705882352941176,9,65.25,62.05,86.9
1,101530,97558,0,296649,51,3060072,199089,15.370372044663442,17,171.04,277.84,229.47
9,1049,1127,14,3350,28,34469,2199,15.775286041189931,8,64.31,88.88,64.72
2,2883,2971,7,8844,33,91361,5863,15.601263661202186,8,40.27,37.09,62.73
2,81265,66021,2,213316,48,2183899,147290,14.827406170224322,17,139.87,198.05,254.39
7,1239,1025,21,3346,32,33883,2292,14.919859092910611,6,80.16,120.61,85.59
1,17824,14658,3,47149,47,482918,32486,14.866791860357726,8,34.22,17.5,55.57
0,39759,36183,2,112130,50,1153857,75944,15.193924310658133,9,56.21,59.25,79.31
4,220,186,9,619,17,6176,419,15.06341463414634,5,69.84,62.99,60.19
3,79,90,2,270,27,2769,174,16.098837209302324,3,13.27,6.3,34.09
6,75,70,7,242,13,2371,158,15.701986754966887,4,39.64,35.46,32.38
9,1697,1952,22,5664,37,58451,3680,15.978950246036085,7,104.22,162.83,121.3
14,7223,7863,20,23018,42,238357,15120,15.78523178807947,9,99.35,137.87,125.21
1,173,159,1,496,19,5081,334,15.258258258258259,7,71.01,55.75,62.77
1,1951,1942,3,5844,23,60309,3897,15.487673343605547,10,106.06,129.24,113.39
8,452,443,10,1375,21,14022,913,15.528239202657808,7,62.93,87.48,69.02
2,353,318,5,1004,17,10225,678,15.193164933135215,6,83.99,58.79,44.84
17,37,16,31,166,32,1127,101,16.1,2,48.8,40.59,24.09
8,286,295,18,929,26,9272,607,15.741935483870968,5,46.02,47.36,48.97
0,2843,2962,6,8780,40,90751,5811,15.63324720068906,11,141.3,122.94,162.08
9,75,76,17,280,21,2581,177,16.13125,3,56.44,50.86,35.01
11,16,6,14,79,16,562,47,17.03030303030303,1,20.9,26.13,6.54
6,4807,4389,5,13608,26,139977,9207,15.211584438165616,11,65.41,94.48,115.85
14,144,125,20,463,27,4410,303,15.583038869257951,3,68.17,70.68,34.36
5,387,457,5,1322,21,13667,854,16.09776207302709,8,69.14,89.81,75.73
4,3685,4041,17,11810,32,122171,7747,15.804786545924967,11,181.57,204.82,162.98
8,920,751,8,2455,25,25010,1687,14.895771292435974,7,26.43,32.66,58.85
2,43034,38634,1,120309,38,1237306,81671,15.150067344190033,12,64.39,89.81,130.1
1,1038,992,3,3031,25,31192,2034,15.357951747907435,9,100.91,96.11,83.34
4,7958,7776,16,23551,32,242798,15754,15.427500317702377,10,101.21,111.74,129.69
1,26134,23050,0,72237,36,742332,49185,15.092650198231167,16,130.03,191.99,211.24
7,3032,2935,12,8941,37,92040,5986,15.406762638098426,10,134.77,171.69,110.68
3,2902,3256,2,9425,29,97828,6163,15.878591137802305,11,88.53,142.07,201.01
7,507,558,7,1652,21,17021,1079,15.877798507462687,9,116.87,129.94,83.8
5,435,419,7,1298,20,13263,866,15.440046565774155,8,64.96,76.28,83.36
0,2798,2827,1,8455,29,87376,5626,15.53351111111111,8,44.77,32.89,62.09
2,36490,37091,15,110707,43,1144464,73598,15.553375100226955,13,156.12,151.4,159.11
4,153,141,8,460,15,4583,306,15.379194630872483,8,88.47,71.15,67.54
0,2748,3047,9,8861,34,91766,5804,15.83537532355479,11,278.77,249.84,170.8
6,1795,1608,16,5056,28,51687,3425,15.161924317981812,9,103.59,122.24,112.9
11,6785,7258,22,21368,41,221027,14076,15.726981642237085,9,140.0,177.76,189.26
0,373,287,5,958,19,9671,665,14.653030303030302,6,45.49,42.22,42.96
4,490,564,8,1643,21,16922,1066,15.994328922495274,7,32.78,31.26,65.17
10,188,179,18,603,24,5890,395,15.623342175066313,5,66.34,77.22,38.49
5,1796,1814,9,5453,27,56202,3624,15.546887966804979,9,81.62,101.94,97.68
6,233,261,9,786,17,7995,509,15.99,7,68.72,65.55,65.78
6,1115,1011,5,3160,23,32433,2137,15.212476547842401,8,83.93,84.91,109.95
4,54,46,10,175,15,1602,114,15.403846153846153,4,66.58,44.79,26.09
3,74,74,9,247,14,2372,160,15.708609271523178,4,56.05,49.22,30.47
4,196,199,7,617,17,6246,406,15.654135338345865,7,41.16,42.69,55.42
1,358,341,4,1051,18,10750,704,15.357142857142858,4,29.81,11.2,36.04
7,1663,1485,7,4662,22,47819,3162,15.156576862123613,9,77.48,100.31,93.68
5,2306,2305,6,6939,24,71594,4622,15.50996533795494,8,56.71,76.05,95.01
4,78,55,7,211,13,2016,144,14.715328467153284,4,41.61,33.13,32.77
4,561,555,3,1686,26,17363,1123,15.502678571428572,8,59.71,59.49,55.76
6,498,407,8,1341,20,13592,919,14.9198682766191,7,55.37,67.65,79.8
14,28,15,23,133,25,946,80,16.596491228070175,2,37.54,37.32,17.33
3,22,19,7,81,10,694,51,15.772727272727273,3,26.09,13.76,35.01
7,695,629,15,1998,25,20275,1346,15.23290758827949,6,60.05,74.88,73.79
16,279,278,23,914,25,9043,596,15.781849912739965,5,117.31,91.91,52.57
10,885,800,17,2540,30,25825,1712,15.23598820058997,7,87.1,98.44,69.85
13,129,122,18,436,24,4183,282,15.844696969696969,5,62.14,68.58,46.19
0,44,49,10,163,14,1474,103,15.849462365591398,4,41.52,30.79,36.19
6,792,1068,11,2963,26,30780,1877,16.4951768488746,9,91.09,91.21,101.57
11,601,575,15,1804,21,18345,1202,15.454928390901433,10,139.23,117.57,108.53
2,1465,1249,7,3982,25,40715,2723,14.990795287187039,9,179.87,138.8,135.56
8,28247,27224,9,82730,43,853359,55488,15.381657924620127,11,101.27,159.1,139.09
7,1752,1815,13,5423,28,55880,3587,15.635142697257974,9,71.15,89.58,88.07
